@@	1100	Hangul Jamo	11FF
D7B9	HANGUL JUNGSEONG EU-A
D7BA	HANGUL JUNGSEONG EU-EO
D7BB	HANGUL JUNGSEONG EU-E
D7BC	HANGUL JUNGSEONG EU-O
D7BD	HANGUL JUNGSEONG I-YA-O
D7BE	HANGUL JUNGSEONG I-YAE
D7BF	HANGUL JUNGSEONG I-YEO
D7C0	HANGUL JUNGSEONG I-YE
D7C1	HANGUL JUNGSEONG I-O-I
D7C2	HANGUL JUNGSEONG I-YO
D7C3	HANGUL JUNGSEONG I-YU
D7C4	HANGUL JUNGSEONG I-I
D7C5	HANGUL JUNGSEONG ARAEA-A
D7C6	HANGUL JUNGSEONG ARAEA-E
@		Old final consonants
D7CB	HANGUL JONGSEONG NIEUN-RIEUL
D7CC	HANGUL JONGSEONG NIEUN-CHIEUCH
D7CD	HANGUL JONGSEONG SSANGTIKEUT
D7CE	HANGUL JONGSEONG SSANGTIKEUT-PIEUP
D7CF	HANGUL JONGSEONG TIKEUT-PIEUP
D7D0	HANGUL JONGSEONG TIKEUT-SIOS
D7D1	HANGUL JONGSEONG TIKEUT-SIOS-KIYEOK
D7D2	HANGUL JONGSEONG TIKEUT-CIEUC
D7D3	HANGUL JONGSEONG TIKEUT-CHIEUCH
D7D4	HANGUL JONGSEONG TIKEUT-THIEUTH
D7D5	HANGUL JONGSEONG RIEUL-SSANGKIYEOK
D7D6	HANGUL JONGSEONG RIEUL-KIYEOK-HIEUH
D7D7	HANGUL JONGSEONG SSANGRIEUL-KHIEUKH
D7D8	HANGUL JONGSEONG RIEUL-MIEUM-HIEUH
D7D9	HANGUL JONGSEONG RIEUL-PIEUP-TIKEUT
D7DA	HANGUL JONGSEONG RIEUL-PIEUP-PHIEUPH
D7DB	HANGUL JONGSEONG RIEUL-YESIEUNG
D7DC	HANGUL JONGSEONG RIEUL-YEORINHIEUH-HIEUH
D7DD	HANGUL JONGSEONG KAPYEOUNRIEUL
D7DE	HANGUL JONGSEONG MIEUM-NIEUN
D7DF	HANGUL JONGSEONG MIEUM-SSANGNIEUN
D7E0	HANGUL JONGSEONG SSANGMIEUM
D7E1	HANGUL JONGSEONG MIEUM-PIEUP-SIOS
D7E2	HANGUL JONGSEONG MIEUM-CIEUC
D7E3	HANGUL JONGSEONG PIEUP-TIKEUT
D7E4	HANGUL JONGSEONG PIEUP-RIEUL-PHIEUPH
D7E5	HANGUL JONGSEONG PIEUP-MIEUM
D7E6	HANGUL JONGSEONG SSANGPIEUP
D7E7	HANGUL JONGSEONG PIEUP-SIOS-TIKEUT
D7E8	HANGUL JONGSEONG PIEUP-CIEUC
D7E9	HANGUL JONGSEONG PIEUP-CHIEUCH
D7EA	HANGUL JONGSEONG SIOS-MIEUM
D7EB	HANGUL JONGSEONG SIOS-KAPYEOUNPIEUP
D7EC	HANGUL JONGSEONG SSANGSIOS-KIYEOK
D7ED	HANGUL JONGSEONG SSANGSIOS-TIKEUT
D7EE	HANGUL JONGSEONG SIOS-PANSIOS
D7EF	HANGUL JONGSEONG SIOS-CIEUC
D7F0	HANGUL JONGSEONG SIOS-CHIEUCH
D7F1	HANGUL JONGSEONG SIOS-THIEUTH
D7F2	HANGUL JONGSEONG SIOS-HIEUH
D7F3	HANGUL JONGSEONG PANSIOS-PIEUP
D7F4	HANGUL JONGSEONG PANSIOS-KAPYEOUNPIEUP
D7F5	HANGUL JONGSEONG YESIEUNG-MIEUM
D7F6	HANGUL JONGSEONG YESIEUNG-HIEUH
D7F7	HANGUL JONGSEONG CIEUC-PIEUP
D7F8	HANGUL JONGSEONG CIEUC-SSANGPIEUP
D7F9	HANGUL JONGSEONG SSANGCIEUC
D7FA	HANGUL JONGSEONG PHIEUPH-SIOS
D7FB	HANGUL JONGSEONG PHIEUPH-THIEUTH
